1,305301
2,5597
3,1172
4,552
5,305
6,199
7,203
8,110
9,106
10,87
11,55
12,42
13,44
14,37
15,35
16,27
17,24
18,25
19,26
20,15
21,15
22,13
23,12
24,14
25,10
26,12
27,11
28,8
29,9
30,9
31,6
32,10
33,6
34,11
35,6
36,7
37,3
38,5
39,5
40,4
41,5
42,5
43,5
44,8
45,1
46,2
47,4
48,2
49,3
50,1
51,1
52,2
53,3
54,8
55,2
56,4
57,6
59,4
61,2
63,1
64,1
65,1
66,2
68,1
70,1
72,1
73,3
74,1
76,4
78,2
79,1
80,3
81,2
84,2
85,3
86,1
89,2
90,1
93,3
96,1
98,1
100,2
102,1
105,1
106,1
107,1
111,1
112,1
113,1
115,1
116,4
119,1
120,2
123,1
124,1
130,2
131,2
136,2
140,1
143,1
144,1
145,1
148,1
149,1
150,1
156,1
159,1
164,2
167,1
171,1
174,1
179,1
180,1
195,1
205,1
212,1
229,1
235,1
251,1
262,1
268,1
278,1
287,1
291,1
304,1
363,1
379,1
409,1
432,1
515,1
526,1
558,1
1718,1
1892,1
2364,1
3761,1
6989,1
9001,2
